GEOID,NAME,total_18_34,child_householder_18_34,basement_dweller_pct,median_rentE,median_home_valueE,median_household_incomeE,youth_unemployed_2534E,labor_force_2534E,median_rent,youth_unemployment_rate,rent_to_income_ratio,state,puma_name,coastal_state,high_cost
3604210,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA; New York,28349,13033,45.97340294190271,1504,469300,67210,4.8,16746,1504,4.8,0.26853146853146853,NA,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA; New York,FALSE,FALSE
3604211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA; New York,27789,11413,41.07020763611501,1565,611300,64929,5.6,14146,1565,5.6,0.2892390149239939,NA,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA; New York,FALSE,FALSE
3604212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA; New York",39367,20032,50.885259227271575,1499,560400,62082,7.4,20336,1499,7.4,0.2897458200444573,NA,NYC-Bronx Community District 12--Wakefield,FALSE,FALSE
3604221,"NYC-Bronx Community Districts 1 & 2--Melrose, Mott Haven, Longwood, & Hunts Point PUMA; New York",40017,19453,48.61183996801359,1125,460700,32429,7.3,18575,1125,7.3,0.41629405778778256,NA,NYC-Bronx Community Districts 1 & 2--Melrose,FALSE,FALSE
3604263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA; New York",42578,21259,49.92954107755179,1212,521000,32428,9.9,20572,1212,9.9,0.44850129517700754,NA,NYC-Bronx Community Districts 3 & 6--Morrisania,FALSE,FALSE
3604301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA; New York,68981,10899,15.800002899349098,2208,1142400,94416,7.7,18026,2208,7.7,0.2806304016268429,NA,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA; New York,FALSE,TRUE
3604302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA; New York,36981,4652,12.579432681647331,2739,1065500,134236,5.9,14831,2739,5.9,0.24485234959325367,NA,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA; New York,FALSE,TRUE
3604303,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA; New York,57750,13062,22.618181818181817,1839,1204600,72500,10.9,20390,1839,10.9,0.3043862068965517,NA,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA; New York,FALSE,FALSE
3604304,NYC-Brooklyn Community District 4--Bushwick PUMA; New York,45929,9408,20.48379019791417,2019,909300,79885,6.2,11388,2019,6.2,0.30328597358703135,NA,NYC-Brooklyn Community District 4--Bushwick PUMA; New York,FALSE,TRUE
3604305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA; New York,48581,24454,50.33655132665034,1417,605300,51346,6.7,23990,1417,6.7,0.33116503719861334,NA,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA; New York,FALSE,FALSE
3604306,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA; New York,28015,4960,17.704800999464574,2587,1666400,161555,6.1,15699,2587,6.1,0.19215746959239888,NA,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA; New York,FALSE,TRUE
3604307,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA; New York,27889,7947,28.495105597188857,1893,1041900,82676,5.8,17479,1893,5.8,0.27475930136920024,NA,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA; New York,FALSE,TRUE
3604308,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA; New York,33901,6726,19.840122710244536,1753,1101500,83592,7.4,12963,1753,7.4,0.25165087568188343,NA,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA; New York,FALSE,FALSE
3604309,NYC-Brooklyn Community District 9--Crown Heights (South) PUMA; New York,28552,8485,29.7177080414682,1641,1057100,71606,4.5,11673,1641,4.5,0.27500488785855937,NA,NYC-Brooklyn Community District 9--Crown Heights (South) PUMA; New York,FALSE,FALSE
3604310,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA; New York,26533,11532,43.46285757358761,1760,1027900,83367,5.3,17064,1760,5.3,0.25333765158875815,NA,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA; New York,FALSE,FALSE
